timestamp,task1_state,task2_state,task3_state,task9_state,debug_value
2025-03-20 00:00:00.045810,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Ready,-3.60
2025-03-20 00:00:00.045960,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Running,-3.86
2025-03-20 00:00:00.046700,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Ready,-3.86
2025-03-20 00:00:00.046860,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Running,-4.11
2025-03-20 00:00:00.048160,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Ready,-4.11
2025-03-20 00:00:00.048310,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Running,-4.37
2025-03-20 00:00:00.049270,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Ready,-4.37
2025-03-20 00:00:00.049420,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Running,-4.63
2025-03-20 00:00:00.049720,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Ready,-4.63
2025-03-20 00:00:00.049860,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Running,-4.89
2025-03-20 00:00:00.050030,TaskState.Suspended,TaskState.Running,TaskState.Blocked,TaskState.Ready,-4.89
2025-03-20 00:00:00.050260,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Running,-4.89
2025-03-20 00:00:00.050440,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Ready,-4.89
2025-03-20 00:00:00.050590,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Running,-5.14
2025-03-20 00:00:00.051790,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Ready,-5.14
2025-03-20 00:00:00.051930,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Running,-5.40
2025-03-20 00:00:00.052760,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Ready,-5.40
2025-03-20 00:00:00.052910,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Running,-5.66
2025-03-20 00:00:00.053240,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Ready,-5.66
2025-03-20 00:00:00.053380,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Running,-5.91
2025-03-20 00:00:00.165470,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Running,-58.37
2025-03-20 00:00:00.166130,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-58.63
2025-03-20 00:00:00.166380,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-58.63
2025-03-20 00:00:00.166520,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-58.89
2025-03-20 00:00:00.166990,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-58.89
2025-03-20 00:00:00.167130,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-59.14
2025-03-20 00:00:00.167240,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-59.14
2025-03-20 00:00:00.167390,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-59.40
2025-03-20 00:00:00.167570,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-59.40
2025-03-20 00:00:00.167720,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-59.66
2025-03-20 00:00:00.168240,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-59.66
2025-03-20 00:00:00.168390,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-59.91
2025-03-20 00:00:00.168840,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-59.91
2025-03-20 00:00:00.168990,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-60.17
2025-03-20 00:00:00.169100,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-60.17
2025-03-20 00:00:00.169250,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-60.43
2025-03-20 00:00:00.169460,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-60.43
2025-03-20 00:00:00.169610,TaskState.Suspended,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-60.69
2025-03-20 00:00:00.170030,TaskState.Suspended,TaskState.Running,TaskState.Blocked,TaskState.Blocked,-60.69
2025-03-20 00:00:00.170060,TaskState.Running,TaskState.Blocked,TaskState.Blocked,TaskState.Blocked,-66.34
